tool             tier(s)            nodes   flags   %described     ms  status
dhcpcd           help                   1       0            —     20  ok
diff             carapace+help         14      60         100%      1  ok
diff3            carapace+help          1      15         100%     20  ok
dir              carapace+help         16      58         100%      1  ok
dircolors        carapace+help          1       9         100%     20  ok
dirmngr          help                   1      33         100%     21  ok
dirmngr-client   help                  10       4         100%     20  ok
dirname          carapace+help          1       3         100%     20  ok
distro-info      help                   1       8         100%     20  ok
dmesg            carapace+help         11      31         100%     20  ok
dmsetup          help                  13       0            —     20  ok
dmstats          help                   9       0            —      1  ok
dnsdomainname    help                  13      10          90%     20  ok
dnsmasq          carapace+help          1     185          98%     21  ok
do-release-upgrade help                   1      11          91%    101  ok
docker           carapace+help        199    1003         100%     65  ok
docker-proxy     help                   1       8          88%     20  ok
dockerd          carapace+help         42      90         100%     41  ok
dockerd-rootless-setuptool.sh help                   5       1         100%     21  ok
dockerd-rootless.sh help                   1       0            —     20  ok
docutils         help                 109       0            —    161  ok
domainname       help                  13      10          90%     20  ok
dosfsck          help                   1      21         100%     20  ok
dosfslabel       help                   1       5         100%     20  ok
dotenv           help                   6       5         100%     80  ok
dpkg             carapace+help          4      60          97%     21  ok
dpkg-architecture help                   1      17         100%     40  ok
dpkg-buildapi    help                   1       2         100%     62  ok
dpkg-buildflags  help                   1      10         100%     40  ok
dpkg-buildpackage help                  12      26          96%     80  ok
dpkg-buildtree   help                   4       0            —     40  ok
dpkg-checkbuilddeps help                   1       9         100%     60  ok
dpkg-deb         help                   7      17          94%     20  ok
dpkg-distaddfile help                   1       2         100%     40  ok
dpkg-divert      help                   6      12         100%      1  ok
dpkg-genbuildinfo help                   1      11         100%     82  ok
dpkg-genchanges  help                   1      26         100%     60  ok
dpkg-gencontrol  help                   1      15         100%     60  ok
dpkg-gensymbols  help                   1      14         100%     80  ok
dpkg-maintscript-helper help                   8       0            —     20  ok
dpkg-mergechangelogs help                   1       2         100%     60  ok
dpkg-name        help                   1       7         100%     60  ok
dpkg-parsechangelog help                   3       7          86%     41  ok
dpkg-preconfigure help                   1       0            —     82  ok
dpkg-query       help                   7      13          92%     20  ok
dpkg-realpath    help                   1       2         100%     20  ok
dpkg-reconfigure help                   1       0            —     60  ok
dpkg-scanpackages help                   1       7         100%     61  ok
dpkg-scansources help                   1       4         100%     60  ok
